"FJUS SHELVING UNIT 27 1/2X66 7/8"" SOLW",1,Step 1,20,100229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FJUS SHELVING UNIT 27 1/2X66 7/8"" SOLW",,,2,shelf support frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FJUS SHELVING UNIT 27 1/2X66 7/8"" SOLW",,,5,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GORM BOTTLE RACK 30X12""",1,brace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GORM BOTTLE RACK 30X12""",4,screws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GORM BOTTLE RACK 30X12""",1,Step 3,8,111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GORM BOTTLE RACK 30X12""",,,2,shelf support frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GORM BOTTLE RACK 30X12""",,,1,Step 2,4,111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GORM BOTTLE RACK 30X12""",,,,,1,Step 1,2,shelf support frame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GORM BOTTLE RACK 30X12""",,,,,,,4,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GORM BOTTLE RACK 30X12""",,,,,,,4,111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",2,100344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",1,Step 13,8,102509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,1,Step 12,8,103440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,1,Step 11,2,103717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,2,100344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,1,Step 10,8,103440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,4,101350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,1,bottom facia piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,1,top facia piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,1,Step 9,4,101350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,2,side facia piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,1,Step 8,19,101261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,,,1,Step 7,2,101261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,,,,,1,Step 6,2,101261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,,,,,,,1,Step 5,6,102509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,,,,,,,,,1,Step 4,6,102509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,,,,,,,,,,,1,Step 3,12,101350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,,,,,,,,,,,,,3,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,,,,,,,,,,,,,1,Step 2,12,103440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,,,,,,,,,,,,,,,1,Step 1,1,right-hand side,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,1,left-hand side,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,2,100344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK STORAGE UNIT 23 5/8X65"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,2,103691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",8,105364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",1,Step 26,1,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,4,106401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,1,Step 25,1,shelf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,4,106401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,1,Step 24,12,101221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,1,Step 23,18,101221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,1,Step 22,4,103430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,1,Step 21,4,101350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,1,Step 20,4,103430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,1,Step 19,5,103440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,2,side facia piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,1,bottom facia piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,8,101345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,1,Step 17,6,103430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,1,Step 16,2,101350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,1,Step 15,1,top,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,2,103430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,1,Step 14,1,103430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,1,Step 13,2,101350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,1,cross piece,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,1,Step 12,1,right-hand side,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,left-hand side,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,103440,,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Step 11,22,101221,,,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Step 10,3,101221,,,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Step 9,1,101221,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,back,,,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Step 8,1,top,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,103440,,,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Step 7,5,103430,,,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Step 6,5,103440,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,side facia piece,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,bottom facia piece,,,,,,,,,,,,,,
"HENSVIK CABINET W/SHELF UNIT 30X63"" ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,101345,,,,,,,,,,,,,,
